"i","j","P_ij","F_ij","sim"
5,9,0.710949502625004,0.138023352504164,"Sim 2"
6,9,0.689974481127612,0.124888693908535,"Sim 2"
7,9,0.668187772168166,0.113003963338082,"Sim 2"
8,9,0.645656306225795,0.102250214414661,"Sim 2"
9,9,0.622459331201854,0.0925198200045848,"Sim 2"
10,9,0.598687660112452,0.0837153950501002,"Sim 2"
11,9,0.574442516811659,0.075748821906993,"Sim 2"
12,9,0.549833997312478,0.0685403684335893,"Sim 2"
13,9,0.52497918747894,0.0620178900046823,"Sim 2"
14,9,0.5,0.0561161074638749,"Sim 2"
15,9,0.47502081252106,0.050775953787841,"Sim 2"
16,9,0.450166002687522,0.0459439829237032,"Sim 2"
17,9,0.425557483188341,0.0415718348829719,"Sim 2"
18,9,0.401312339887548,0.0376157517385255,"Sim 2"
19,9,0.377540668798145,0.0340361396805691,"Sim 2"
20,9,0.354343693774205,0.0307971727484774,"Sim 2"
1,1,0.768524783499018,0.254269197953956,"Sim 3"
2,1,0.768524783499018,0.254269197953956,"Sim 3"
3,1,0.768524783499018,0.254269197953956,"Sim 3"
4,1,0.768524783499018,0.254269197953956,"Sim 3"
5,1,0.768524783499018,0.254269197953956,"Sim 3"
6,1,0.768524783499018,0.254269197953956,"Sim 3"
7,1,0.768524783499018,0.254269197953956,"Sim 3"
8,1,0.768524783499018,0.254269197953956,"Sim 3"
9,1,0.768524783499018,0.254269197953956,"Sim 3"
10,1,0.768524783499018,0.254269197953956,"Sim 3"
11,1,0.768524783499018,0.254269197953956,"Sim 3"
12,1,0.768524783499018,0.254269197953956,"Sim 3"
13,1,0.768524783499018,0.254269197953956,"Sim 3"
14,1,0.768524783499018,0.254269197953956,"Sim 3"
15,1,0.768524783499018,0.254269197953956,"Sim 3"
16,1,0.768524783499018,0.254269197953956,"Sim 3"
17,1,0.768524783499018,0.254269197953956,"Sim 3"
18,1,0.768524783499018,0.254269197953956,"Sim 3"
19,1,0.768524783499018,0.254269197953956,"Sim 3"
20,1,0.768524783499018,0.254269197953956,"Sim 3"
1,2,0.740774899182154,0.254269197953956,"Sim 3"
2,2,0.740774899182154,0.254269197953956,"Sim 3"
3,2,0.740774899182154,0.254269197953956,"Sim 3"
4,2,0.740774899182154,0.254269197953956,"Sim 3"
5,2,0.740774899182154,0.254269197953956,"Sim 3"
6,2,0.740774899182154,0.254269197953956,"Sim 3"
7,2,0.740774899182154,0.254269197953956,"Sim 3"
8,2,0.740774899182154,0.254269197953956,"Sim 3"
9,2,0.740774899182154,0.254269197953956,"Sim 3"
10,2,0.740774899182154,0.254269197953956,"Sim 3"
11,2,0.740774899182154,0.254269197953956,"Sim 3"
12,2,0.740774899182154,0.254269197953956,"Sim 3"
13,2,0.740774899182154,0.254269197953956,"Sim 3"
14,2,0.740774899182154,0.254269197953956,"Sim 3"
15,2,0.740774899182154,0.254269197953956,"Sim 3"
16,2,0.740774899182154,0.254269197953956,"Sim 3"
17,2,0.740774899182154,0.254269197953956,"Sim 3"
18,2,0.740774899182154,0.254269197953956,"Sim 3"
19,2,0.740774899182154,0.254269197953956,"Sim 3"
20,2,0.740774899182154,0.254269197953956,"Sim 3"
1,3,0.710949502625004,0.254269197953956,"Sim 3"
2,3,0.710949502625004,0.254269197953956,"Sim 3"
3,3,0.710949502625004,0.254269197953956,"Sim 3"
4,3,0.710949502625004,0.254269197953956,"Sim 3"
5,3,0.710949502625004,0.254269197953956,"Sim 3"
6,3,0.710949502625004,0.254269197953956,"Sim 3"
7,3,0.710949502625004,0.254269197953956,"Sim 3"
8,3,0.710949502625004,0.254269197953956,"Sim 3"
9,3,0.710949502625004,0.254269197953956,"Sim 3"
10,3,0.710949502625004,0.254269197953956,"Sim 3"
11,3,0.710949502625004,0.254269197953956,"Sim 3"
12,3,0.710949502625004,0.254269197953956,"Sim 3"
13,3,0.710949502625004,0.254269197953956,"Sim 3"
14,3,0.710949502625004,0.254269197953956,"Sim 3"
15,3,0.710949502625004,0.254269197953956,"Sim 3"
16,3,0.710949502625004,0.254269197953956,"Sim 3"
17,3,0.710949502625004,0.254269197953956,"Sim 3"
18,3,0.710949502625004,0.254269197953956,"Sim 3"
19,3,0.710949502625004,0.254269197953956,"Sim 3"
20,3,0.710949502625004,0.254269197953956,"Sim 3"
1,4,0.679178699175393,0.254269197953956,"Sim 3"
2,4,0.679178699175393,0.254269197953956,"Sim 3"
3,4,0.679178699175393,0.254269197953956,"Sim 3"
4,4,0.679178699175393,0.254269197953956,"Sim 3"
5,4,0.679178699175393,0.254269197953956,"Sim 3"
6,4,0.679178699175393,0.254269197953956,"Sim 3"
7,4,0.679178699175393,0.254269197953956,"Sim 3"
8,4,0.679178699175393,0.254269197953956,"Sim 3"
9,4,0.679178699175393,0.254269197953956,"Sim 3"
10,4,0.679178699175393,0.254269197953956,"Sim 3"
11,4,0.679178699175393,0.254269197953956,"Sim 3"
12,4,0.679178699175393,0.254269197953956,"Sim 3"
13,4,0.679178699175393,0.254269197953956,"Sim 3"
14,4,0.679178699175393,0.254269197953956,"Sim 3"
